Text,Type
Loch Lomond Stadial,CHRONOSTRAT
Lochkovian,CHRONOSTRAT
Longvillian,CHRONOSTRAT
Lopingian,CHRONOSTRAT
Ludfordian,CHRONOSTRAT
Ludhamian,CHRONOSTRAT
Ludlow,CHRONOSTRAT
Lutetian,CHRONOSTRAT
Maastrichtian,CHRONOSTRAT
Marine Isotope Stage ,CHRONOSTRAT
Marsdenian,CHRONOSTRAT
Marshbrookian,CHRONOSTRAT
Menapian,CHRONOSTRAT
Merioneth,CHRONOSTRAT
Mesoarchaean,CHRONOSTRAT
Mesoarchean Era,CHRONOSTRAT
Mesoproterozoic,CHRONOSTRAT
Mesozoic,CHRONOSTRAT
Messinian,CHRONOSTRAT
Mid Devonian,CHRONOSTRAT
Mid Eocene,CHRONOSTRAT
Mid Jurassic,CHRONOSTRAT
Mid Miocene,CHRONOSTRAT
Mid Mississippian,CHRONOSTRAT
Mid Ordovician,CHRONOSTRAT
Mid Paleocene,CHRONOSTRAT
Mid Pennsylvanian,CHRONOSTRAT
Mid Triassic,CHRONOSTRAT
Miocene,CHRONOSTRAT
Mississippian,CHRONOSTRAT
Moridunian,CHRONOSTRAT
Moscovian,CHRONOSTRAT
Namurian,CHRONOSTRAT
Neoarchaean,CHRONOSTRAT
Neoarchean Era,CHRONOSTRAT
Neogene,CHRONOSTRAT
Neoproterozoic,CHRONOSTRAT
Norian,CHRONOSTRAT
Olenekian,CHRONOSTRAT
Oligocene,CHRONOSTRAT
Onnian,CHRONOSTRAT
Ordovician,CHRONOSTRAT
Orosirian,CHRONOSTRAT
Oxfordian,CHRONOSTRAT
Paibian,CHRONOSTRAT
Palaeoarchaean,CHRONOSTRAT
Palaeogene,CHRONOSTRAT
Palaeogene Period,CHRONOSTRAT
Palaeoproterozoic,CHRONOSTRAT
Palaeozoic,CHRONOSTRAT
Paleoarchean Era,CHRONOSTRAT
Paleocene,CHRONOSTRAT
Paleoproterozoic Era,CHRONOSTRAT
Paleozoic Era,CHRONOSTRAT
Pastonian,CHRONOSTRAT
Pastonian Age,CHRONOSTRAT
Pendleian,CHRONOSTRAT
Pendleian,CHRONOSTRAT
Pennsylvanian,CHRONOSTRAT
Permian,CHRONOSTRAT
Phanerozoic,CHRONOSTRAT
Piacenzian,CHRONOSTRAT
Pleistocene,CHRONOSTRAT
Pleistocene,CHRONOSTRAT
Pliensbachian,CHRONOSTRAT
Pliocene,CHRONOSTRAT
Portlandian,CHRONOSTRAT
Praetiglian,CHRONOSTRAT
Pragian,CHRONOSTRAT
Pre-ludhamian,CHRONOSTRAT
Pre-pastonian,CHRONOSTRAT
Priabonian,CHRONOSTRAT
Pridoli,CHRONOSTRAT
Proterozoic,CHRONOSTRAT
Pusgillian,CHRONOSTRAT
Quaternary,CHRONOSTRAT
Rawtheyan,CHRONOSTRAT
Reuverian,CHRONOSTRAT
Rhaetian,CHRONOSTRAT
Rhuddanian,CHRONOSTRAT
Rhyacian,CHRONOSTRAT
Roadian,CHRONOSTRAT
Rupelian,CHRONOSTRAT
Ryazanian,CHRONOSTRAT
Saalian,CHRONOSTRAT
Sakmarian,CHRONOSTRAT
Sandbian,CHRONOSTRAT
Santonian,CHRONOSTRAT
Scythian,CHRONOSTRAT
Selandian,CHRONOSTRAT
Serpukhovian,CHRONOSTRAT
Serravallian,CHRONOSTRAT
Sheinwoodian,CHRONOSTRAT
Siderian,CHRONOSTRAT
Silesian,CHRONOSTRAT
Silurian,CHRONOSTRAT
Sinemurian,CHRONOSTRAT
Soudleyan,CHRONOSTRAT
St David's,CHRONOSTRAT
Stenian,CHRONOSTRAT
Stephanian,CHRONOSTRAT
Stratherian,CHRONOSTRAT
Streffordian,CHRONOSTRAT
Tarantian,CHRONOSTRAT
Tatarian,CHRONOSTRAT
Telychian,CHRONOSTRAT
Terreneuvian,CHRONOSTRAT
Tertiary,CHRONOSTRAT
Thanetian,CHRONOSTRAT
Thurnian,CHRONOSTRAT
Tiglian,CHRONOSTRAT
Tithonian,CHRONOSTRAT
Toarcian,CHRONOSTRAT
Tonian,CHRONOSTRAT
Tortonian,CHRONOSTRAT
Tournaisian,CHRONOSTRAT
Tremadoc,CHRONOSTRAT
Tremadoc Epoch,CHRONOSTRAT
Tremadocian,CHRONOSTRAT
Triassic,CHRONOSTRAT
Turonian,CHRONOSTRAT
Ufimian-kazanian,CHRONOSTRAT
Valanginian,CHRONOSTRAT
Velfreyan,CHRONOSTRAT
Visean,CHRONOSTRAT
Volgian,CHRONOSTRAT
Waalian,CHRONOSTRAT
Waltonian,CHRONOSTRAT
Weichselian,CHRONOSTRAT
Wenlock,CHRONOSTRAT
Westphalian,CHRONOSTRAT
Whitlandian,CHRONOSTRAT
Windermere Interstadial,CHRONOSTRAT
Wolstonian,CHRONOSTRAT
Woolstonian,CHRONOSTRAT
Wordian,CHRONOSTRAT
Wuchiapingian,CHRONOSTRAT
Yeadonian,CHRONOSTRAT
Ypresian,CHRONOSTRAT
Zanclean,CHRONOSTRAT
